                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.1028,                0.71018,                0.81493,                0.68628,                0.55229,                0.67278,                0.52617,                0.95945,                0.73266,                0.80107,                0.00604,                0.00604,                0.00604
                     82,                 1.0892,                0.72365,                0.81003,                0.72505,                0.55364,                0.65808,                0.51763,                0.95427,                0.71707,                0.80183,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1486,                 0.6919,                0.80999,                0.65465,                0.59609,                0.67821,                0.53186,                0.96674,                0.73604,                0.80266,               0.005941,               0.005941,               0.005941
                     84,                 1.1444,                0.71214,                 0.8066,                0.72409,                0.54625,                 0.6935,                0.53981,                0.96675,                0.72087,                0.80219,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.1537,                0.69936,                0.80892,                0.72954,                0.57406,                0.68887,                 0.5375,                0.96387,                0.71105,                0.80148,               0.005842,               0.005842,               0.005842
                     86,                  1.142,                0.68668,                  0.806,                0.70712,                  0.575,                0.69015,                0.54318,                0.96881,                0.72534,                0.80142,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1283,                0.68339,                0.80378,                 0.7248,                0.55503,                0.68202,                0.53923,                0.97757,                0.71115,                0.80065,               0.005743,               0.005743,               0.005743
                     88,                 1.1888,                0.71618,                0.81291,                0.63843,                0.61236,                0.68271,                0.53672,                0.96945,                0.71483,                0.80117,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.0988,                0.66742,                0.80961,                0.65542,                0.60977,                0.68868,                 0.5422,                0.98782,                0.70077,                0.80085,               0.005644,               0.005644,               0.005644
                     90,                 1.1595,                0.67356,                0.80409,                0.65744,                0.63185,                0.69283,                0.54383,                0.97247,                0.69286,                0.79986,              0.0055945,              0.0055945,              0.0055945
