                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.1258,                0.58453,                0.80221,                0.63511,                0.63784,                0.68645,                 0.5459,                 1.0675,                0.68771,                0.79537,               0.004258,               0.004258,               0.004258
                    118,                 1.1975,                0.59716,                 0.8041,                 0.6578,                0.62381,                0.69139,                 0.5506,                 1.0625,                0.68244,                0.79542,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.1695,                 0.5788,                0.80445,                0.66503,                0.61678,                0.69175,                0.54879,                 1.0594,                0.68467,                0.79535,               0.004159,               0.004159,               0.004159
                    120,                  1.215,                0.60053,                0.80092,                0.72459,                0.59031,                0.68514,                0.54663,                 1.0571,                0.68906,                0.79559,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.1396,                0.59575,                0.79785,                0.71813,                0.59588,                0.68989,                0.54836,                 1.0533,                0.68797,                0.79533,                0.00406,                0.00406,                0.00406
                    122,                 1.1531,                0.57609,                0.80528,                0.69934,                 0.5959,                0.69025,                0.54884,                 1.0566,                0.68944,                0.79553,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1576,                0.56329,                0.80023,                0.70883,                0.58724,                0.69181,                0.55015,                  1.062,                0.68645,                0.79579,               0.003961,               0.003961,               0.003961
                    124,                 1.1748,                0.57254,                0.80205,                0.70779,                0.58988,                0.69015,                 0.5483,                 1.0682,                0.68088,                0.79558,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.1624,                0.57235,                0.80114,                0.72672,                0.58033,                 0.6929,                0.54789,                 1.0753,                0.67556,                0.79541,               0.003862,               0.003862,               0.003862
                    126,                 1.2297,                0.58652,                0.80134,                0.76561,                0.56576,                0.69498,                0.55362,                 1.0692,                0.67108,                0.79489,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1968,                 0.5594,                0.79394,                0.74991,                0.57322,                0.70107,                0.56129,                 1.0717,                0.66572,                0.79438,               0.003763,               0.003763,               0.003763
                    128,                 1.0923,                0.55511,                0.79789,                0.74858,                0.57905,                0.70528,                0.56304,                 1.0692,                0.66063,                0.79455,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.1557,                0.55037,                0.79989,                0.62499,                0.64757,                0.70463,                0.56196,                 1.0632,                0.65734,                0.79426,               0.003664,               0.003664,               0.003664
                    130,                 1.2278,                0.55597,                 0.7971,                0.60303,                0.66293,                0.69646,                0.55475,                 1.0665,                0.65281,                0.79465,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.1244,                0.56177,                0.79668,                0.64851,                0.64217,                0.70086,                0.55923,                 1.0709,                  0.652,                0.79461,               0.003565,               0.003565,               0.003565
                    132,                 1.1709,                0.55714,                0.79683,                0.65329,                0.63317,                0.70301,                0.56018,                 1.0721,                0.64702,                0.79463,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.1232,                0.55075,                0.80189,                0.67026,                0.63275,                0.70351,                0.56215,                 1.0702,                0.64736,                 0.7947,               0.003466,               0.003466,               0.003466
                    134,                 1.1442,                0.54563,                0.80245,                0.65145,                0.64645,                0.70339,                0.56273,                 1.0727,                0.64278,                0.79454,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0806,                0.53499,                0.79879,                0.69273,                0.63166,                0.70702,                0.56589,                 1.0719,                0.63949,                0.79439,               0.003367,               0.003367,               0.003367
                    136,                 1.1089,                0.53533,                0.79861,                0.64197,                0.65451,                0.70513,                0.56419,                 1.0705,                0.64248,                0.79431,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0845,                0.53133,                0.79689,                0.62476,                0.65663,                0.70604,                0.56575,                  1.071,                0.64121,                0.79401,               0.003268,               0.003268,               0.003268
                    138,                 1.1713,                0.54751,                0.79536,                0.76683,                0.58828,                0.70791,                0.56882,                 1.0707,                0.64116,                0.79378,              0.0032185,              0.0032185,              0.0032185
