                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 0.7256,                 0.4737,                0.80135,                0.82598,                0.61029,                0.75289,                0.60584,                0.68533,                0.52525,                0.79299,              0.0074013,              0.0074013,              0.0074013
                    108,                0.75289,                0.47127,                 0.8007,                0.74423,                0.67209,                0.75961,                 0.6112,                0.68449,                0.51702,                0.79256,              0.0073765,              0.0073765,              0.0073765
                    109,                0.72804,                 0.4668,                 0.7972,                0.78947,                0.62102,                0.75927,                0.60976,                0.69066,                0.52278,                 0.7933,              0.0073517,              0.0073517,              0.0073517
                    110,                0.72416,                0.48145,                0.79686,                0.80183,                0.61751,                0.76803,                0.61565,                0.68993,                0.52267,                0.79384,               0.007327,               0.007327,               0.007327
                    111,                0.70852,                0.46941,                0.79665,                0.79934,                0.63511,                0.77407,                0.61814,                0.68944,                0.52153,                0.79418,              0.0073023,              0.0073023,              0.0073023
                    112,                0.71747,                0.46663,                0.79741,                 0.7794,                0.64803,                0.77781,                0.62404,                0.68988,                0.52024,                0.79398,              0.0072775,              0.0072775,              0.0072775
                    113,                0.73293,                0.47478,                0.79933,                0.79907,                0.61768,                0.76292,                0.61318,                0.69312,                0.52743,                0.79399,              0.0072527,              0.0072527,              0.0072527
                    114,                0.70043,                0.45222,                0.79894,                0.74752,                0.64464,                0.76641,                0.61616,                0.68814,                0.52665,                0.79279,               0.007228,               0.007228,               0.007228
                    115,                0.69477,                0.45077,                0.79652,                0.74819,                0.65667,                0.77798,                0.62614,                0.68733,                0.53021,                0.79262,              0.0072033,              0.0072033,              0.0072033
                    116,                0.70953,                 0.4606,                0.79659,                0.76204,                0.64971,                 0.7796,                0.62522,                0.68647,                 0.5282,                0.79266,              0.0071785,              0.0071785,              0.0071785
                    117,                0.70652,                0.47294,                0.79719,                0.70972,                0.69699,                0.77568,                0.62186,                 0.6879,                0.53157,                0.79277,              0.0071538,              0.0071538,              0.0071538
                    118,                0.68624,                0.45666,                0.79501,                0.79004,                0.64407,                0.77637,                  0.623,                0.68863,                0.53812,                 0.7932,               0.007129,               0.007129,               0.007129
                    119,                0.70587,                0.45638,                0.79357,                0.78337,                0.64297,                0.77235,                0.61846,                0.68871,                0.52876,                 0.7935,              0.0071042,              0.0071042,              0.0071042
                    120,                0.68908,                0.44494,                0.79232,                 0.7107,                0.69622,                0.77085,                0.61636,                0.69047,                0.52388,                0.79339,              0.0070795,              0.0070795,              0.0070795
                    121,                0.69605,                0.46307,                0.79676,                 0.7787,                0.65099,                0.77352,                0.62223,                0.69202,                0.52805,                0.79325,              0.0070547,              0.0070547,              0.0070547
                    122,                0.68756,                0.44555,                0.80107,                0.78725,                0.66224,                0.77348,                0.62138,                0.68974,                0.52313,                0.79304,                0.00703,                0.00703,                0.00703
                    123,                  0.676,                0.43865,                0.79843,                0.75892,                0.68058,                0.77411,                0.62257,                0.68941,                0.51355,                0.79277,              0.0070053,              0.0070053,              0.0070053
                    124,                 0.6883,                0.44145,                0.80361,                0.81307,                0.66333,                0.77707,                0.62483,                0.68659,                0.50908,                0.79232,              0.0069805,              0.0069805,              0.0069805
                    125,                0.69272,                0.44214,                0.80011,                0.82334,                0.67233,                0.78211,                0.62902,                0.68587,                0.51246,                 0.7918,              0.0069558,              0.0069558,              0.0069558
                    126,                0.67103,                 0.4231,                 0.7941,                0.81083,                0.66996,                0.77085,                0.62147,                0.68228,                0.51383,                0.79149,               0.006931,               0.006931,               0.006931
                    127,                0.67912,                0.43536,                0.79936,                0.81058,                0.67207,                0.77513,                0.62619,                0.68297,                 0.5111,                0.79203,              0.0069063,              0.0069063,              0.0069063
                    128,                 0.7099,                0.44386,                0.79643,                0.79568,                0.67668,                0.77739,                0.62762,                0.68254,                0.51218,                 0.7912,              0.0068815,              0.0068815,              0.0068815
                    129,                0.68765,                 0.4382,                0.79475,                0.74197,                0.72172,                 0.7816,                0.62968,                0.68182,                0.50396,                0.79136,              0.0068568,              0.0068568,              0.0068568
                    130,                0.65933,                0.42747,                0.79645,                0.71399,                0.72422,                0.77706,                0.62554,                0.68228,                 0.5043,                0.79136,               0.006832,               0.006832,               0.006832
                    131,                0.67599,                0.43297,                0.78901,                0.78402,                 0.6815,                0.78191,                 0.6277,                0.68243,                0.50632,                0.79107,              0.0068073,              0.0068073,              0.0068073
                    132,                0.67841,                0.42161,                0.79797,                0.68972,                0.73792,                0.77828,                 0.6218,                0.68183,                0.50252,                0.79106,              0.0067825,              0.0067825,              0.0067825
                    133,                0.66106,                0.41558,                0.79784,                 0.6872,                0.74221,                 0.7788,                0.62374,                0.68114,                0.50544,                0.79118,              0.0067577,              0.0067577,              0.0067577
                    134,                0.65164,                0.41702,                0.78928,                0.72644,                0.71237,                0.77929,                 0.6212,                0.68278,                0.50015,                0.79118,               0.006733,               0.006733,               0.006733
                    135,                0.66883,                0.42427,                0.79121,                0.71956,                0.71923,                0.78275,                0.62592,                0.68021,                0.50153,                0.79127,              0.0067082,              0.0067082,              0.0067082
                    136,                0.67056,                0.42069,                0.79241,                0.70178,                0.73329,                0.78171,                0.62422,                0.67841,                0.49835,                0.79112,              0.0066835,              0.0066835,              0.0066835
                    137,                0.68564,                0.43049,                0.79524,                0.76766,                0.68835,                0.78218,                0.62695,                0.67834,                0.50518,                  0.791,              0.0066587,              0.0066587,              0.0066587
                    138,                0.66972,                0.42929,                 0.7951,                0.75284,                0.69341,                0.78289,                0.62727,                 0.6786,                0.50457,                0.79124,               0.006634,               0.006634,               0.006634
                    139,                0.65291,                0.42031,                0.78878,                   0.75,                0.69093,                 0.7791,                0.62266,                 0.6785,                0.50341,                0.79102,              0.0066092,              0.0066092,              0.0066092
                    140,                0.64558,                 0.4116,                0.79311,                0.75877,                  0.686,                0.77638,                 0.6217,                0.67967,                0.50079,                0.79101,              0.0065845,              0.0065845,              0.0065845
                    141,                0.63642,                0.40589,                 0.7948,                0.76917,                 0.6745,                0.77616,                0.62175,                0.67806,                0.49697,                 0.7909,              0.0065598,              0.0065598,              0.0065598
                    142,                0.63525,                0.40295,                0.79097,                 0.7711,                 0.6715,                0.77517,                0.62001,                0.67778,                0.49478,                0.79094,               0.006535,               0.006535,               0.006535
                    143,                0.64871,                0.41222,                0.79077,                 0.7928,                0.66543,                0.77421,                0.61844,                 0.6781,                0.49694,                0.79126,              0.0065102,              0.0065102,              0.0065102
                    144,                0.65168,                0.41182,                0.79386,                 0.7771,                0.67398,                0.77495,                0.61862,                0.67993,                0.49776,                0.79133,              0.0064855,              0.0064855,              0.0064855
                    145,                0.64728,                0.40898,                0.79311,                0.76031,                0.68266,                0.77495,                0.61727,                0.68151,                0.49828,                0.79158,              0.0064608,              0.0064608,              0.0064608
                    146,                 0.6627,                0.40875,                0.79531,                 0.7353,                0.71232,                0.77624,                0.61848,                0.68135,                0.49754,                0.79154,               0.006436,               0.006436,               0.006436
                    147,                0.64498,                0.42471,                0.78554,                0.73835,                0.72087,                0.77878,                0.62038,                0.68315,                0.49666,                0.79152,              0.0064112,              0.0064112,              0.0064112
                    148,                0.65612,                0.40499,                0.79173,                0.73447,                0.72308,                0.77719,                0.62237,                0.68323,                0.50009,                0.79135,              0.0063865,              0.0063865,              0.0063865
                    149,                0.64293,                0.41087,                0.79111,                0.72961,                0.71622,                0.77847,                0.62158,                0.68416,                 0.4981,                 0.7912,              0.0063618,              0.0063618,              0.0063618
                    150,                0.65146,                0.41274,                 0.7948,                 0.7152,                0.71976,                0.78296,                0.62831,                0.68333,                0.49954,                0.79122,               0.006337,               0.006337,               0.006337
                    151,                0.64344,                0.39755,                0.79129,                 0.7972,                0.67141,                0.78429,                0.62993,                0.68286,                 0.4998,                0.79143,              0.0063122,              0.0063122,              0.0063122
                    152,                0.65372,                0.40785,                0.79077,                 0.7895,                0.66582,                0.78448,                0.62837,                0.68391,                0.50118,                0.79166,              0.0062875,              0.0062875,              0.0062875
                    153,                0.64339,                0.40498,                0.79137,                0.79186,                0.66211,                0.77813,                0.62298,                0.68399,                0.49981,                0.79159,              0.0062628,              0.0062628,              0.0062628
                    154,                0.64187,                0.40239,                0.78772,                0.80478,                0.66109,                0.78682,                0.63283,                0.68273,                0.49881,                0.79152,               0.006238,               0.006238,               0.006238
                    155,                0.64766,                0.40698,                0.78564,                0.80399,                0.66468,                0.78767,                0.63126,                0.68403,                0.49967,                0.79161,              0.0062132,              0.0062132,              0.0062132
